"ID","SalePrice"
1461,129689.660424893
1462,160296.126054725
1463,186516.947432892
1464,208521.36399963
1465,192924.632793575
1466,191518.575629192
1467,172460.875339006
1468,175490.069638243
1469,197332.97708364
1470,105537.887226807
1471,192943.343757754
1472,104248.337781136
1473,94621.1935507714
1474,143318.772990045
1475,119922.963746774
1476,336433.676814506
1477,238705.370423045
1478,281223.914909839
1479,267337.884372456
1480,378308.51973374
1481,298434.854058347
1482,223866.500742005
1483,193588.623022839
1484,161826.388857627
1485,206234.993152603
1486,222319.600645364
1487,320975.658908851
1488,250647.930336625
1489,191707.473546155
1490,210663.910195739
1491,219658.460257725
1492,103794.324870446
1493,199637.983585274
1494,277253.754195821
1495,266105.359061851
1496,201853.953797183
1497,189917.400235082
1498,158004.486025195
1499,153072.720143998
1500,142910.846062416
1501,158334.034840278
1502,143489.349952371
1503,263148.187976376
1504,243853.415862685
1505,208188.803536445
1506,179326.825051882
1507,235565.74394375
1508,204999.563458987
1509,163931.05057355
1510,128053.385831643
1511,129434.224031227
1512,163772.642117734
1513,163284.38970773
1514,135909.262524575
1515,204726.852551363
1516,168242.018471945
1517,179373.118596096
1518,136782.482874525
1519,201301.667227848
1520,116367.165762581
1521,122379.477446383
1522,179344.265659933
1523,113007.271163796
1524,130889.199648414
1525,114262.808713304
1526,119565.222333208
1527,99018.3248201068
1528,150790.698931005
1529,128971.726145285
1530,192047.159367946
1531,107057.148879178
1532,94053.8338623197
1533,137006.935804759
1534,133634.107680909
1535,162365.124074585
1536,109701.624033021
1537,63548.3614507339
1538,176305.468686441
1539,199493.209265247
1540,106673.227714608
1541,152555.6989237
1542,135457.11213507
1543,182539.725593189
1544,84119.4005019882
1545,127000.305533309
1546,132068.624881654
1547,139375.916277515
1548,146599.77257724
1549,117211.187379945
1550,115585.587695219
1551,110235.274747253
1552,125169.781542178
1553,153932.014305821
1554,119677.459304257
1555,167817.773576478
1556,94262.7112571474
1557,98274.5965514082
1558,102996.530680991
1559,75556.2843145814
1560,135023.274258849
1561,117908.568118105
1562,121447.249917173
1563,114460.467639981
1564,147661.990878114
1565,151417.295897397
1566,257187.306694257
1567,78145.9530805081
1568,210649.317921818
1569,112757.898328864
1570,147658.884624341
1571,132703.568593727
1572,135777.296946106
1573,259063.653732816
1574,125152.894362903
1575,231991.602715572
1576,233967.093676316
1577,186755.670697511
1578,141846.955090385
1579,137473.120133131
1580,211738.716445597
1581,158730.669405442
1582,112790.788662088
1583,272940.315695524
1584,234747.209105539
1585,136700.689602186
1586,63086.5144834999
1587,114765.452528625
1588,138145.404236307
1589,119066.473584727
1590,140292.721899682
1591,89906.6631177239
1592,111900.046241903
1593,121156.410796765
1594,117325.683427202
1595,106689.596299487
1596,201687.343140075
1597,167188.185224402
1598,228111.452407623
1599,180859.673605798
1600,177189.186060977
1601,61095.1933238311
1602,116817.941680727
1603,87861.4434616558
1604,235201.743388184
1605,254139.450417285
1606,177348.55442158
1607,182521.240757121
1608,212818.983203077
1609,192297.060856962
1610,162918.074346789
1611,147444.315811743
1612,167235.071882291
1613,173640.545423664
1614,119010.293673505
1615,92645.0815042224
1616,79279.0551415425
1617,93429.3003045114
1618,118529.457956464
1619,140017.916278288
1620,163927.655406813
1621,147550.001821262
1622,134724.182477422
1623,251938.106644107
1624,209415.65592826
1625,122572.029940776
